age,sex,bmi,children,smoker,region,charges,bmi_category
-1.4404177293803346,0,-0.45315959440232934,-0.9092341626291546,1,3,16884.924,2
-1.5116474702606657,1,0.5094216454409656,-0.07944161966998751,0,2,1725.5523,1
-0.7993500614573563,1,0.38315460035078847,1.5801434662483465,0,2,4449.462,1
-0.44320135705570163,1,-1.3050521908224169,-0.9092341626291546,0,1,21984.47061,0
-0.5144310979360326,1,-0.29245608246937727,-0.9092341626291546,0,1,3866.8552,2
-0.5856608388163635,0,-0.8073632533565909,-0.9092341626291546,0,2,3756.6216,2
0.48278527438860047,0,0.45530719754517474,-0.07944161966998751,0,2,8240.5896,1
-0.15828239353437792,0,-0.47939690247301536,1.5801434662483465,0,1,7281.5056,2
-0.15828239353437792,1,-0.136672065799679,0.7503509232891795,0,0,6406.4107,2
1.4800016467132335,0,-0.7909649358124119,-0.9092341626291546,0,1,28923.13692,2
-1.013039284098349,1,-0.7286513291445327,-0.9092341626291546,0,0,2721.3208,2
1.6224611284738955,0,-0.7171725068636076,-0.9092341626291546,1,2,27808.7251,2
-1.155498765859011,1,0.6127310459692911,-0.9092341626291546,0,3,1826.843,1
1.1950826831919097,0,1.501519856863781,-0.9092341626291546,0,2,11090.7178,1
-0.8705798023376873,1,1.8803209921343111,-0.9092341626291546,1,2,39611.7577,1
-1.4404177293803346,1,-0.9943040733602284,-0.07944161966998751,0,3,1837.237,0
0.9101637196705861,0,0.01911195087001984,-0.07944161966998751,0,0,10797.3362,1
-1.155498765859011,1,-1.1181113708187786,-0.9092341626291546,0,0,2395.17155,0
1.1950826831919097,1,1.5802317810758386,-0.9092341626291546,0,3,10602.385,1
-0.6568905796966944,1,0.7603159038668998,-0.9092341626291546,1,3,36837.467,1
1.4800016467132335,0,0.8759240425533611,-0.9092341626291546,0,0,13228.84695,1
-0.6568905796966944,0,0.2847646950857156,-0.07944161966998751,0,3,4149.736,1
-1.5116474702606657,1,0.5635360933367553,-0.9092341626291546,0,2,1137.011,1
-0.3719716161753707,0,0.20605277087365798,-0.07944161966998751,1,0,37701.8768,1
-0.15828239353437792,1,-0.43266169747210587,0.7503509232891795,0,1,6203.90175,2
1.4087719058329027,0,-0.48267656598185105,1.5801434662483465,0,2,14001.1338,2
1.6936908693542263,0,-1.242738584154537,-0.9092341626291546,0,0,14451.83515,0
1.1238529423115788,0,0.346258385876386,0.7503509232891795,0,1,12268.63225,1
-1.155498765859011,1,-2.177442684172727,-0.07944161966998751,0,1,2775.19215,3
-0.5856608388163635,1,0.9242990793086876,0.7503509232891795,1,3,38711.0,1
-1.2267285067393419,1,0.8095108564994369,-0.9092341626291546,1,3,35585.576,1
